Category,Metric,varianta_main Mean,variantb_UseCompactObjectHeaders Mean,varianta_main P50,variantb_UseCompactObjectHeaders P50,varianta_main P90,variantb_UseCompactObjectHeaders P90,Unit
Build,Build time,635716,633923,637299,632473,659892,677351,ms
Build,Configuration time,59524,59764,58413,58185,68193,68326,ms
Gradle process state,Gradle-Process-gcTime,0.27,0.27,0.27,0.27,0.29,0.29,
Kotlin process state,Kotlin-Process-gcTime,0.46,0.47,0.46,0.47,0.53,0.51,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3129,3125,2654,2642,4819,4753,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,1681,1710,1489,1504,2384,2443,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsGeneratorTask,3042,3076,3032,3023,3541,3629,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,8364,8333,6218,5857,19192,19449,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,3668,3526,3967,3684,4837,4445,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2819,2646,2769,2709,3468,3012,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,1191,1075,1078,1034,1674,1446,ms
Task Path,:build-logic:convention:compileKotlin,8469,8419,8484,8373,8987,8904,ms
Task Path,:app:app:parseDebugLocalResources,1619,1607,1127,1283,3793,2764,ms
Task Path,:core:article:kspDebugKotlin,7328,7457,7283,7472,7720,7929,ms
Task Path,:core:alarm:kspDebugKotlin,7781,7945,7758,7910,8150,8451,ms
Task Path,:core:account:kspDebugKotlin,8425,8553,8403,8466,8917,9111,ms
Task Path,:core:analytics:kspDebugKotlin,7515,7655,7482,7645,7903,8124,ms
Task Path,:core:alarm:compileDebugKotlin,12048,12103,12128,12012,12768,12920,ms
Task Path,:core:account:compileDebugKotlin,12191,12236,12240,12182,12812,13252,ms
Task Path,:core:article:compileDebugKotlin,11850,11880,11899,11833,12658,12713,ms
Task Path,:core:analytics:compileDebugKotlin,11981,12019,12007,11874,12928,12850,ms
Task Path,:core:audio:kspDebugKotlin,2960,3009,2987,2960,3298,3346,ms
Task Path,:core:calendar:kspDebugKotlin,2778,2796,2736,2721,3241,3188,ms
Task Path,:core:cart:kspDebugKotlin,2806,2834,2762,2764,3173,3264,ms
Task Path,:core:cart-contact:kspDebugKotlin,4358,4439,4393,4403,4891,5292,ms
Task Path,:core:calendar:compileDebugKotlin,7981,8075,8012,7986,8417,8964,ms
Task Path,:core:audio:compileDebugKotlin,8199,8164,8217,8099,8755,8985,ms
Task Path,:core:cart:compileDebugKotlin,7798,7856,7771,7735,8290,8526,ms
Task Path,:core:cart-contact:compileDebugKotlin,6822,6774,6734,6707,7425,7609,ms
Task Path,:core:checkout-contact:kspDebugKotlin,2797,2749,2823,2734,3149,3185,ms
Task Path,:core:checkout:kspDebugKotlin,3527,3669,3522,3563,3918,4178,ms
Task Path,:core:comment-contact:kspDebugKotlin,2714,2855,2713,2874,3101,3214,ms
Task Path,:core:comment:kspDebugKotlin,3938,3873,3901,3979,4392,4426,ms
Task Path,:core:checkout-contact:compileDebugKotlin,7866,8006,7856,7890,8478,8881,ms
Task Path,:core:checkout:compileDebugKotlin,7513,7327,7525,7241,8171,8153,ms
Task Path,:core:comment-contact:compileDebugKotlin,7572,7408,7611,7404,8192,8436,ms
Task Path,:core:comment:compileDebugKotlin,7058,7124,7066,7048,7609,7988,ms
Task Path,:core:contact:kspDebugKotlin,2046,2100,1994,2115,2397,2412,ms
Task Path,:core:contact-contact:kspDebugKotlin,2222,2272,2194,2210,2597,2941,ms
Task Path,:core:document:kspDebugKotlin,2310,2352,2219,2244,2966,2912,ms
Task Path,:core:event:kspDebugKotlin,3473,3573,3567,3545,4000,4126,ms
Task Path,:core:contact:compileDebugKotlin,5938,6173,5938,6109,6471,6734,ms
Task Path,:core:contact-contact:compileDebugKotlin,5651,5810,5579,5756,6230,6554,ms
Task Path,:core:document:compileDebugKotlin,5681,5710,5703,5626,6289,6398,ms
Task Path,:core:event:compileDebugKotlin,5133,5142,5139,5068,5665,5842,ms
Task Path,:core:feed:kspDebugKotlin,1868,1965,1771,1866,2180,2434,ms
Task Path,:core:feed-contact:kspDebugKotlin,2111,2108,2019,2021,2737,2731,ms
Task Path,:core:file:kspDebugKotlin,2280,2268,2168,2206,2871,2802,ms
Task Path,:core:forecast:kspDebugKotlin,3359,3364,3332,3279,3837,3876,ms
Task Path,:core:file:compileDebugKotlin,5178,5250,5144,5075,5892,6093,ms
Task Path,:core:feed:compileDebugKotlin,5516,5468,5472,5396,6204,6123,ms
Task Path,:core:feed-contact:compileDebugKotlin,5433,5452,5341,5337,6029,6510,ms
Task Path,:core:forecast:compileDebugKotlin,4804,4925,4771,4917,5415,5853,ms
Task Path,:core:gallery:kspDebugKotlin,2056,2279,2008,2177,2618,3129,ms
Task Path,:core:group:kspDebugKotlin,2337,2497,2313,2452,2822,3029,ms
Task Path,:core:identity:kspDebugKotlin,2603,2713,2547,2639,3145,3436,ms
Task Path,:core:identity-contact:kspDebugKotlin,2642,2692,2561,2673,3171,3257,ms
Task Path,:core:gallery:compileDebugKotlin,5644,5802,5672,5804,6363,6711,ms
Task Path,:core:identity-contact:compileDebugKotlin,5105,5137,5047,5117,5667,5976,ms
Task Path,:core:group:compileDebugKotlin,5492,5507,5446,5500,6380,6308,ms
Task Path,:core:identity:compileDebugKotlin,5336,5163,5273,5045,5850,5931,ms
Task Path,:core:list:kspDebugKotlin,1893,1868,1773,1787,2582,2633,ms
Task Path,:core:location:kspDebugKotlin,1888,1964,1804,1860,2562,2459,ms
Task Path,:core:login:kspDebugKotlin,2181,2218,2170,2154,2829,2805,ms
Task Path,:core:log:kspDebugKotlin,2819,2967,2787,2875,3247,3762,ms
Task Path,:core:list:compileDebugKotlin,5023,4995,5019,5079,5598,5663,ms
Task Path,:core:location:compileDebugKotlin,4928,5022,4920,4970,5454,5524,ms
Task Path,:core:login:compileDebugKotlin,4656,4702,4662,4601,5552,5533,ms
Task Path,:core:log:compileDebugKotlin,4571,4502,4525,4445,5068,5242,ms
Task Path,:core:login-contact:kspDebugKotlin,1821,1885,1704,1751,2413,2538,ms
Task Path,:core:map:kspDebugKotlin,1925,1979,1904,1825,2382,2522,ms
Task Path,:core:media:kspDebugKotlin,2041,2154,2039,2229,2481,2541,ms
Task Path,:core:message:kspDebugKotlin,2173,2314,2131,2246,2761,2819,ms
Task Path,:core:media:compileDebugKotlin,4236,4318,4202,4352,4728,4891,ms
Task Path,:core:map:compileDebugKotlin,4435,4483,4418,4495,5088,5375,ms
Task Path,:core:message:compileDebugKotlin,4080,4142,3996,4076,4673,4955,ms
Task Path,:core:login-contact:compileDebugKotlin,4412,4476,4390,4458,5081,4971,ms
Task Path,:core:network:kspDebugKotlin,1872,1893,1885,1833,2511,2426,ms
Task Path,:core:metric:kspDebugKotlin,1751,1799,1640,1584,2333,2314,ms
Task Path,:core:news:kspDebugKotlin,2018,1983,1970,1880,2495,2627,ms
Task Path,:core:note:kspDebugKotlin,2786,2815,2664,2718,3273,3299,ms
Task Path,:core:network:compileDebugKotlin,4597,4538,4579,4501,5162,5190,ms
Task Path,:core:news:compileDebugKotlin,4462,4526,4545,4565,5006,5056,ms
Task Path,:core:metric:compileDebugKotlin,4588,4559,4676,4454,5192,5202,ms
