Category,Metric,varianta_baseline Mean,variantb_kotlin-2.4.0 Mean,varianta_baseline P50,variantb_kotlin-2.4.0 P50,varianta_baseline P90,variantb_kotlin-2.4.0 P90,Unit
Build,Build time,267315,275688,270723,274733,286318,286973,ms
Build,Configuration time,37910,39239,37852,38249,42659,40710,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3445,3563,2764,2862,5112,5275,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2483,2546,2169,2233,3607,3637,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2126,2064,2120,1946,2683,2501,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1489,1570,1445,1588,2133,1963,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4919,5167,1052,1007,14456,14491,ms
Task Path,:build-logic:convention:compileKotlin,7808,7956,7973,7899,8385,8365,ms
Task Path,:app:app:parseDebugLocalResources,1170,1278,1068,1005,1704,2895,ms
Task Path,:core:cart:kspDebugKotlin,7896,8115,7987,8081,8572,8547,ms
Task Path,:core:contact:kspDebugKotlin,6965,7205,7077,7159,7609,7687,ms
Task Path,:core:comment:kspDebugKotlin,7499,7580,7680,7601,8130,8105,ms
Task Path,:core:checkout:kspDebugKotlin,7797,7844,7937,7830,8463,8384,ms
Task Path,:core:checkout:compileDebugKotlin,13749,14093,14085,14071,14710,14729,ms
Task Path,:core:contact:compileDebugKotlin,13759,14138,13951,14047,14878,15083,ms
Task Path,:core:cart:compileDebugKotlin,14153,14436,14288,14374,15230,15222,ms
Task Path,:core:comment:compileDebugKotlin,13710,14016,14004,14002,14678,14588,ms
Task Path,:core:feed:kspDebugKotlin,2709,2715,2705,2676,3338,3284,ms
Task Path,:core:group:kspDebugKotlin,3667,3619,3619,3570,4326,4542,ms
Task Path,:core:identity:kspDebugKotlin,3858,3918,3927,3890,4494,4697,ms
Task Path,:core:location:kspDebugKotlin,3810,3677,3871,3691,4574,4594,ms
Task Path,:core:feed:compileDebugKotlin,6719,7030,6804,6874,7695,8133,ms
Task Path,:core:group:compileDebugKotlin,5542,5783,5722,5720,6665,6456,ms
Task Path,:core:identity:compileDebugKotlin,5304,5356,5350,5394,6092,5806,ms
Task Path,:core:location:compileDebugKotlin,5072,5243,5096,5189,5912,5935,ms
Task Path,:core:login:kspDebugKotlin,2753,2801,2843,2745,3118,3430,ms
Task Path,:core:message:kspDebugKotlin,3258,3431,3301,3466,3855,4001,ms
Task Path,:core:network:kspDebugKotlin,3371,3427,3383,3434,3795,3965,ms
Task Path,:core:notification:kspDebugKotlin,3360,3388,3428,3388,4027,3820,ms
Task Path,:core:login:compileDebugKotlin,5283,5546,5441,5597,6035,6408,ms
Task Path,:core:message:compileDebugKotlin,4828,5033,4952,4965,5432,5627,ms
Task Path,:core:network:compileDebugKotlin,4774,4981,4704,4981,5535,5463,ms
Task Path,:core:post:kspDebugKotlin,2745,2790,2743,2777,3340,3279,ms
Task Path,:core:notification:compileDebugKotlin,4622,4845,4735,4794,5308,5305,ms
Task Path,:core:push:kspDebugKotlin,2995,3196,3019,3120,3808,3977,ms
Task Path,:core:profile:kspDebugKotlin,3104,3252,3122,3308,3961,3711,ms
Task Path,:core:search:kspDebugKotlin,3370,3485,3432,3379,4001,4116,ms
Task Path,:core:post:compileDebugKotlin,4744,5147,4871,5209,5747,6061,ms
Task Path,:core:push:compileDebugKotlin,4633,4629,4583,4507,5477,5519,ms
Task Path,:core:profile:compileDebugKotlin,4861,4864,4795,4823,5655,5416,ms
Task Path,:core:setting:kspDebugKotlin,3731,3873,3747,3887,4674,4750,ms
Task Path,:core:search:compileDebugKotlin,4512,4676,4507,4538,5446,5503,ms
Task Path,:core:share:kspDebugKotlin,2707,2936,2784,2805,3347,3554,ms
Task Path,:core:user:kspDebugKotlin,2773,2822,2838,2780,3401,3410,ms
Task Path,:core:sync:kspDebugKotlin,3660,3953,3804,3847,4640,4647,ms
Task Path,:core:setting:compileDebugKotlin,4282,4393,4159,4352,5037,5210,ms
Task Path,:core:share:compileDebugKotlin,4085,4408,4124,4378,4605,4958,ms
