Category,Metric,varianta_baseline Mean,variantb_agp-9.3.0 Mean,varianta_baseline P50,variantb_agp-9.3.0 P50,varianta_baseline P90,variantb_agp-9.3.0 P90,Unit
Build,Build time,267772,268137,268421,271181,289767,287325,ms
Build,Configuration time,40153,41553,40618,41317,44207,46970,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,4,4,4,4,5,5,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,36,31,34,32,56,48,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,47,49,45,48,68,74,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3319,3313,2898,2862,5130,5129,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,367,362,286,283,551,536,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,45,46,45,45,60,58,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,4,4,4,4,12,9,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,10,10,9,9,17,16,ms
Task Type,com.android.build.gradle.tasks.MergeResources,69,69,28,27,49,49,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,11,11,6,6,13,12,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,13,13,12,12,22,21,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,42,43,27,27,47,46,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,23,23,21,20,37,35,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2337,2306,2068,2022,3194,3141,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,101,99,90,88,166,164,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,16,16,14,14,25,25,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,6,6,5,4,10,10,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,12,15,11,13,21,20,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsGeneratorTask,3036,3000,3026,3015,3767,3855,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,11,11,10,9,19,20,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,13,13,12,12,29,23,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,53,55,50,51,75,78,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,199,185,193,173,280,272,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,36,34,7,7,12,12,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,6923,6930,1285,1360,19776,19761,ms
Task Type,dagger.hilt.android.plugin.task.HiltSyncTask,0,0,0,0,1,0,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,7,9,4,4,10,9,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,472,473,383,337,918,1094,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,5,6,5,5,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,26,24,20,20,31,32,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,35,35,34,32,53,54,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,23,17,22,17,34,29,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,3,4,3,3,7,8,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,30,32,15,16,27,28,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,10,11,10,10,16,16,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,228,260,210,243,321,338,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,185,221,166,230,247,313,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,36,40,32,34,69,60,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,2,2,1,1,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,4,4,3,3,7,6,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1956,1852,1853,1799,2442,2294,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1254,1181,1200,1120,1645,1645,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,6,8,7,7,11,9,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,30,27,28,28,53,38,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,5,5,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,992,979,982,927,1201,1387,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,13,13,11,11,18,18,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,2,2,2,2,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,2,2,2,2,4,5,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,1,1,2,2,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,3,3,2,2,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,20,19,18,18,27,27,ms
Task Type,com.android.build.gradle.tasks.BundleAar,8,8,8,8,12,13,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,900,839,832,806,1180,1026,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,3,3,3,4,8,5,ms
Task Path,:build-logic:convention:compileKotlin,8482,8494,8591,8562,8967,9013,ms
Task Path,:app:app:parseDebugLocalResources,1345,1439,1189,1210,2709,2456,ms
Task Path,:core:cart:kspDebugKotlin,8269,8257,8350,8254,8872,9153,ms
Task Path,:core:contact:kspDebugKotlin,7398,7250,7431,7203,7968,8221,ms
Task Path,:core:comment:kspDebugKotlin,7851,7804,7892,7831,8630,8729,ms
Task Path,:core:checkout:kspDebugKotlin,8128,8099,8102,8196,9011,8960,ms
Task Path,:core:cart:compileDebugKotlin,8896,9119,9036,9162,9882,10044,ms
Task Path,:core:comment:compileDebugKotlin,8472,8498,8543,8484,9429,9381,ms
Task Path,:core:contact:compileDebugKotlin,8600,8575,8706,8586,9532,9678,ms
Task Path,:core:checkout:compileDebugKotlin,8540,8575,8568,8543,9419,9372,ms
Task Path,:core:group:kspDebugKotlin,2782,2592,2669,2528,3406,3078,ms
Task Path,:core:feed:kspDebugKotlin,2762,2644,2682,2628,3414,3251,ms
Task Path,:core:location:kspDebugKotlin,2819,2840,2856,2917,3809,3597,ms
Task Path,:core:identity:kspDebugKotlin,2968,2812,2862,2825,3817,3299,ms
Task Path,:core:feed:compileDebugKotlin,5608,5888,5721,5959,6379,6676,ms
Task Path,:core:location:compileDebugKotlin,5198,5395,5160,5409,6018,6415,ms
Task Path,:core:group:compileDebugKotlin,5621,5955,5617,5997,6344,6488,ms
Task Path,:core:identity:compileDebugKotlin,5395,5629,5438,5681,6133,6260,ms
Task Path,:core:login:kspDebugKotlin,2311,2194,2178,2193,3315,2519,ms
Task Path,:core:message:kspDebugKotlin,2393,2303,2250,2291,3422,2791,ms
Task Path,:core:network:kspDebugKotlin,2525,2335,2413,2258,3377,3068,ms
Task Path,:core:notification:kspDebugKotlin,2679,2459,2652,2413,3507,3068,ms
Task Path,:core:login:compileDebugKotlin,4853,4918,4944,5005,5655,5782,ms
Task Path,:core:message:compileDebugKotlin,4732,4729,4876,4819,5473,5367,ms
Task Path,:core:network:compileDebugKotlin,4749,4975,4823,5078,5883,5862,ms
Task Path,:core:notification:compileDebugKotlin,4597,4767,4711,4769,5511,5529,ms
Task Path,:core:post:kspDebugKotlin,2192,2044,2125,2070,2864,2250,ms
Task Path,:core:profile:kspDebugKotlin,2502,2304,2407,2229,3345,2758,ms
Task Path,:core:push:kspDebugKotlin,2492,2313,2325,2315,3268,2801,ms
Task Path,:core:search:kspDebugKotlin,2659,2627,2590,2576,3338,3347,ms
Task Path,:core:post:compileDebugKotlin,4696,4586,4807,4767,5511,5331,ms
Task Path,:core:profile:compileDebugKotlin,4470,4501,4443,4564,5390,5107,ms
Task Path,:core:search:compileDebugKotlin,4113,4179,4042,4158,4844,5002,ms
