Category,Metric,varianta_baseline Mean,variantb_gradle-9.7.1 Mean,varianta_baseline P50,variantb_gradle-9.7.1 P50,varianta_baseline P90,variantb_gradle-9.7.1 P90,Unit
Build,Build time,261671,253267,271669,264306,285130,275461,ms
Build,Configuration time,47111,44089,47658,45848,49773,49104,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,4,4,4,5,6,7,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,38,34,33,30,61,49,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,57,50,56,49,81,62,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3424,3354,3024,2992,5049,4886,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,623,610,443,424,732,736,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,44,42,45,41,56,53,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,6,6,6,6,11,12,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,48,39,18,16,29,29,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,12,12,10,10,19,19,ms
Task Type,com.android.build.gradle.tasks.MergeResources,106,105,35,34,64,62,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,12,12,9,9,18,17,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,116,92,28,27,51,50,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,26,26,23,22,41,41,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2506,2436,2200,2137,3451,3378,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,106,105,92,90,161,162,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,19,19,17,17,29,29,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,13,12,9,8,17,15,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,19,17,15,15,28,27,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,20,19,18,17,31,29,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,10,13,9,13,15,24,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,51,49,48,47,71,71,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,343,352,319,355,516,506,ms
