Category,Metric,varianta_baseline Mean,variantb_gradle-9.8.0 Mean,varianta_baseline P50,variantb_gradle-9.8.0 P50,varianta_baseline P90,variantb_gradle-9.8.0 P90,Unit
Build,Build time,262968,258364,271413,267704,289428,283448,ms
Build,Configuration time,47150,46266,47886,48369,53547,54337,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3400,3367,2977,2977,5185,4977,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2546,2484,2245,2207,3479,3387,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsGeneratorTask,6100,6041,6133,6313,7465,7051,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,6982,7036,1294,1268,20406,21139,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,2155,1927,2197,1854,2968,2623,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2737,2537,2686,2526,3444,3171,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,1174,1150,1120,1121,1640,1447,ms
Task Path,:build-logic:convention:compileKotlin,8663,8333,8913,8618,9307,9293,ms
Task Path,:app:app:processDebugNavigationResources,3577,2290,3428,2063,6424,3908,ms
Task Path,:model:article-contact:parseDebugLocalResources,3613,2694,3316,2422,6632,4358,ms
Task Path,:core:checkout:parseDebugLocalResources,3664,1592,3481,748,6693,4317,ms
Task Path,:core:cart:parseDebugLocalResources,3755,2703,3640,2426,6720,4360,ms
Task Path,:core:cart:kspDebugKotlin,8052,7758,8178,7874,9191,8805,ms
Task Path,:core:contact:kspDebugKotlin,7791,7476,7920,7551,8654,8500,ms
Task Path,:core:checkout:kspDebugKotlin,8276,8021,8438,8307,9246,9034,ms
Task Path,:core:comment:kspDebugKotlin,8138,7934,8341,8213,9105,9106,ms
Task Path,:core:cart:compileDebugKotlin,8896,8888,9055,9200,9866,10044,ms
Task Path,:core:contact:compileDebugKotlin,8905,8916,9124,9206,9904,10074,ms
Task Path,:core:checkout:compileDebugKotlin,8659,8549,8882,8818,9790,9846,ms
Task Path,:core:comment:compileDebugKotlin,8647,8528,8859,8705,9760,9905,ms
Task Path,:core:contact:compileDebugJavaWithJavac,3025,2721,3052,2657,3981,3328,ms
Task Path,:core:cart:compileDebugJavaWithJavac,3047,2763,3071,2684,4030,3348,ms
Task Path,:core:checkout:compileDebugJavaWithJavac,3067,2775,3067,2743,4043,3394,ms
Task Path,:core:comment:compileDebugJavaWithJavac,3067,2771,3073,2708,4039,3382,ms
Task Path,:core:group:kspDebugKotlin,3007,3093,3014,3097,3774,3919,ms
Task Path,:core:feed:kspDebugKotlin,3077,3104,3154,3074,3593,3887,ms
Task Path,:core:location:kspDebugKotlin,3004,3054,3075,3089,3703,3899,ms
Task Path,:core:identity:kspDebugKotlin,3181,3239,3175,3195,3785,4081,ms
Task Path,:core:location:compileDebugKotlin,5706,5459,5738,5616,6497,6532,ms
Task Path,:core:feed:compileDebugKotlin,5378,5188,5395,5347,6078,6511,ms
Task Path,:core:group:compileDebugKotlin,5725,5515,5885,5935,6582,6476,ms
Task Path,:core:identity:compileDebugKotlin,5674,5427,5733,5626,6504,6591,ms
Task Path,:core:login:kspDebugKotlin,2748,2800,2701,2706,3478,3600,ms
Task Path,:core:network:kspDebugKotlin,2562,2635,2533,2490,3472,3401,ms
Task Path,:core:message:kspDebugKotlin,2674,2735,2607,2677,3473,3331,ms
Task Path,:core:notification:kspDebugKotlin,2564,2613,2556,2516,3343,3290,ms
Task Path,:core:login:compileDebugKotlin,4438,4496,4497,4498,5222,5555,ms
Task Path,:core:message:compileDebugKotlin,4360,4377,4358,4320,5486,5516,ms
Task Path,:core:network:compileDebugKotlin,4762,4627,4975,4622,5943,5769,ms
Task Path,:core:notification:compileDebugKotlin,4713,4538,4801,4524,5759,5842,ms
Task Path,:core:post:kspDebugKotlin,2642,2515,2602,2524,3335,3142,ms
Task Path,:core:push:kspDebugKotlin,2481,2384,2435,2364,3114,3003,ms
Task Path,:core:profile:kspDebugKotlin,2673,2546,2595,2509,3299,3137,ms
Task Path,:core:search:kspDebugKotlin,2749,2523,2709,2453,3502,3148,ms
Task Path,:core:post:compileDebugKotlin,4295,4303,4231,4301,5342,5547,ms
Task Path,:core:profile:compileDebugKotlin,4263,4193,4105,4126,5078,5291,ms
Task Path,:core:search:compileDebugKotlin,3906,4046,3959,3952,4670,5461,ms
Task Path,:core:push:compileDebugKotlin,4162,4226,4052,4284,5230,5624,ms
Task Path,:core:share:kspDebugKotlin,2451,2523,2542,2528,2945,3176,ms
Task Path,:core:user:kspDebugKotlin,2325,2322,2410,2222,2984,2942,ms
Task Path,:core:setting:kspDebugKotlin,3696,3555,3798,3499,4418,4696,ms
Task Path,:core:sync:kspDebugKotlin,3432,3325,3479,3314,4143,4101,ms
Task Path,:core:setting:compileDebugKotlin,3952,3545,3853,3499,4962,4733,ms
Task Path,:core:share:compileDebugKotlin,4249,4285,4056,4280,5346,5237,ms
Task Path,:core:user:compileDebugKotlin,4233,4261,4306,4264,5315,5037,ms
Task Path,:core:sync:compileDebugKotlin,3853,3752,3621,3703,5120,4740,ms
Task Path,:feature:analytics:kspDebugKotlin,2547,2357,2617,2290,3187,3121,ms
Task Path,:feature:map:kspDebugKotlin,2443,2309,2465,2261,3019,2945,ms
Task Path,:feature:weather:kspDebugKotlin,2552,2324,2485,2332,3478,2928,ms
Task Path,:feature:account:kspDebugKotlin,2618,2392,2582,2415,3513,3047,ms
Task Path,:feature:account:compileDebugKotlin,3456,3353,3373,3375,4678,4073,ms
Task Path,:feature:weather:compileDebugKotlin,3654,3495,3473,3554,4868,4250,ms
Task Path,:feature:map:compileDebugKotlin,4143,3777,4133,3784,5136,4646,ms
Task Path,:feature:analytics:compileDebugKotlin,4191,3881,3986,3911,5563,5011,ms
Task Path,:feature:list:kspDebugKotlin,2232,2212,2183,2278,3127,2946,ms
Task Path,:domain:article:kspDebugKotlin,2195,2187,2052,2253,2912,2897,ms
Task Path,:domain:audio:kspDebugKotlin,2370,2364,2276,2368,3448,3057,ms
Task Path,:feature:task:kspDebugKotlin,2269,2279,2045,2240,3239,2946,ms
Task Path,:feature:list:compileDebugKotlin,3515,3531,3490,3632,4414,4348,ms
Task Path,:domain:article:compileDebugKotlin,3227,3271,3157,3272,4081,3965,ms
Task Path,:domain:audio:compileDebugKotlin,3390,3358,3449,3488,3990,4264,ms
Task Path,:feature:task:compileDebugKotlin,3437,3372,3358,3323,4117,4176,ms
Task Path,:feature:alarm:kspDebugKotlin,2253,2149,2283,2060,2748,2702,ms
Task Path,:feature:document:kspDebugKotlin,2237,2079,2190,2040,2821,2671,ms
Task Path,:feature:report:kspDebugKotlin,2466,2242,2298,2260,3148,2900,ms
Task Path,:domain:cart-contact:kspDebugKotlin,3284,2970,3050,2987,4235,3891,ms
Task Path,:feature:document:compileDebugKotlin,3694,3546,3477,3502,4748,4613,ms
Task Path,:feature:alarm:compileDebugKotlin,3802,3600,3480,3456,5186,4475,ms
Task Path,:feature:report:compileDebugKotlin,3521,3404,3427,3356,4513,4479,ms
Task Path,:domain:cart-contact:compileDebugKotlin,3173,3281,3077,3211,4365,4139,ms
Task Path,:domain:checkout-contact:kspDebugKotlin,2170,2073,2069,2058,2992,2923,ms
Task Path,:feature:calendar:kspDebugKotlin,2200,2134,2049,2121,3166,2805,ms
Task Path,:feature:event:kspDebugKotlin,2954,2952,2829,2821,3981,3838,ms
Task Path,:feature:file:kspDebugKotlin,2208,2116,2101,1992,3229,2764,ms
Task Path,:domain:checkout-contact:compileDebugKotlin,3320,3192,3359,3115,4160,3963,ms
Task Path,:feature:calendar:compileDebugKotlin,3632,3453,3606,3402,4383,4146,ms
Task Path,:feature:file:compileDebugKotlin,3294,3039,3262,3052,4190,3737,ms
Task Path,:feature:event:compileDebugKotlin,3273,3085,3269,3052,4191,3860,ms
Task Path,:feature:metric:kspDebugKotlin,2057,2024,2074,1933,2598,2684,ms
Task Path,:feature:session:kspDebugKotlin,2027,2021,2118,2025,2514,2941,ms
Task Path,:feature:log:kspDebugKotlin,2811,2781,2807,2675,3595,3655,ms
Task Path,:feature:forecast:kspDebugKotlin,3016,2917,3075,2799,4103,3833,ms
Task Path,:feature:metric:compileDebugKotlin,3059,2902,3054,2923,3867,3660,ms
Task Path,:feature:session:compileDebugKotlin,3154,3111,3237,2878,3727,4102,ms
Task Path,:feature:forecast:compileDebugKotlin,2994,2898,2999,2951,3728,3606,ms
Task Path,:feature:log:compileDebugKotlin,3088,2893,3093,2948,3813,3899,ms
Task Path,:feature:status:kspDebugKotlin,2126,2100,2200,1991,2617,2700,ms
Task Path,:feature:todo:kspDebugKotlin,2277,2131,2336,2156,2774,2784,ms
Task Path,:feature:timer:kspDebugKotlin,2486,2274,2554,2269,3055,2987,ms
Task Path,:feature:note:kspDebugKotlin,3182,2897,3264,2830,3794,3687,ms
Task Path,:feature:todo:compileDebugKotlin,3412,3426,3296,3378,4364,4373,ms
Task Path,:feature:status:compileDebugKotlin,3618,3619,3617,3595,4607,4669,ms
Task Path,:feature:note:compileDebugKotlin,3056,3307,3133,3156,3716,4459,ms
